52	Moreover it enables us to characterise operads as categorical polynomial monads in a canonical way.	Operads can be characterised as categorical polynomial monads.	E
53	Moreover it enables us to characterise operads as categorical polynomial monads in a canonical way.	Operads can be characterised as categorical polynomial monads; however, no canonical way of doing so exists.	C
54	Moreover it enables us to characterise operads as categorical polynomial monads in a canonical way.	There is exactly one way to characterise operads as categorical polynomial monads.	N
55	We have two useful gradings related by isomorphisms which change the degree.	There exist some gradings related by isomorphisms which change the degree.	E
56	We have two useful gradings related by isomorphisms which change the degree.	No two gradings which change the degree are isomorphic.	C
57	We have two useful gradings related by isomorphisms which change the degree.	There exist many pairs of gradings related by isomorphisms which change the degree.	N
58	The result is a double category C//G which describes the local symmetries of C.	The result is a category.	E
59	The result is a double category C//G which describes the local symmetries of C.	The result is a double category C//G which does not describe the local symmetries of C.	C
60	The result is a double category C//G which describes the local symmetries of C.	The result describes both local and non-local symmetries of C.	N
61	There are few known computable examples of non-abelian surface holonomy.	There are some known examples of non-abelian surface holonomy.	E
62	There are few known computable examples of non-abelian surface holonomy.	There are no known computable examples of non-abelian surface holonomy.	C
63	There are few known computable examples of non-abelian surface holonomy.	There are few known examples of non-abelian surface holonomy.	N
64	Using these ideas, we also prove that magnetic monopoles form an abelian group.	Using these ideas, we also prove that magnetic monopoles form a group.	E
65	Using these ideas, we also prove that magnetic monopoles form an abelian group.	Using these ideas, we disprove the conjecture that magnetic monopoles form a group.	C
66	Using these ideas, we also prove that magnetic monopoles form an abelian group.	Using these ideas, we also prove that monopoles form an abelian group.	N
67	We introduce a 3-dimensional categorical structure which we call intercategory.	We introduce a 3-dimensional categorical structure.	E
68	We introduce a 3-dimensional categorical structure which we call intercategory.	We introduce a 2-dimensional categorical structure which we call intercategory.	C
69	We introduce a 3-dimensional categorical structure which we call intercategory.	An intercategory is a category with a 3-dimensional intercategorical structure.	N
70	We show that these fit together to produce a strict triple category of intercategories.	We show that these fit together to produce a category of intercategories.	E
71	We show that these fit together to produce a strict triple category of intercategories.	We doubt that these fit together to produce a strict triple category of intercategories.	C
72	We show that these fit together to produce a strict triple category of intercategories.	Three intercategories fit together to produce a strict triple.	N
73	This is the third paper in a series.	This paper is part of a series.	E
74	This is the third paper in a series.	This is the fourth paper in a series.	C
75	This is the third paper in a series.	This is the third paper on this topic.	N
76	The effect of any bundle of Lie groups is trivial.	Lie groups sometimes appear in bundles.	E
77	The effect of any bundle of Lie groups is trivial.	The effect of a bundle of Lie groups is non-trivial.	C
78	The effect of any bundle of Lie groups is trivial.	Groups always have effects.	N
79	All quotients of a given Lie groupoid determine the same effect.	All quotients of a given Lie groupoid determine some effect.	E
80	All quotients of a given Lie groupoid determine the same effect.	Quotients of a Lie groupoid determine different effects.	C
81	All quotients of a given Lie groupoid determine the same effect.	A Lie groupoid has either zero or one quotient.	N
82	Our analysis is relevant to the presentation theory of proper smooth stacks.	Proper smooth stacks may sometimes be presented.	E
83	Our analysis is relevant to the presentation theory of proper smooth stacks.	Our analysis does not have anything to say about the presentation theory of proper smooth stacks.	C
84	Our analysis is relevant to the presentation theory of proper smooth stacks.	Proper smooth stacks may always be presented.	N
85	This paper extends the Day Reflection Theorem to  monoidal categories.	This paper extends the Day Reflection Theorem to a family of categories.	E
86	This paper extends the Day Reflection Theorem to skew monoidal categories.	This paper derives the Day Reflection Theorem from skew monoidal categories.	C
87	This paper extends the Day Reflection Theorem to skew monoidal categories.	This paper extends the Day Reflection Theorem to monoidal categories.	N
88	We also give a presentation for FinRelk.	We also exhibit a presentation for FinRelk.	E
89	We also give a presentation for FinRelk.	There is no presentation for FinRelk.	C
90	We also give a presentation for FinRelk.	This is the first time that anyone gives a presentation for FinRelk.	N
91	These modules and their modulations then give rise to a bicategory.	We can define a bicategory from these modules and their modulations.	E
92	These modules and their modulations then give rise to a bicategory.	It would be a mistake to think that these modules and their modulations give rise to a bicategory.	C
93	These modules and their modulations then give rise to a bicategory.	Every module and its modulations give rise to a bicategory.	N
94	We give an explicit construction of the category Opetope of opetopes.	We give a construction of the category Opetope of opetopes.	E
95	We give an explicit construction of the category Opetope of opetopes.	It is an open question to give an explicit construction of the category Opetope of opetopes.	C
96	We give an explicit construction of the category Opetope of opetopes.	The category of opetopes was previously constructed by someone named Opetope.	N
97	This result encompasses many known and new examples of quasitopoi.	This result encompasses new examples of quasitopoi.	E
98	This result encompasses many known and new examples of quasitopoi.	This result is far from the topic of quasitopoi.	C
99	This result encompasses many known and new examples of quasitopoi.	This result also implies new properties of quasitopoi.	N
100	We take some first steps in providing a synthetic theory of distributions.	We take some steps in providing a synthetic theory of distributions.	E
101	We take some first steps in providing a synthetic theory of distributions.	We build on synthetic theories of many others in order to provide a synthetic theory of distributions.	C
102	We take some first steps in providing a synthetic theory of distributions.	We do not think it will be easy to take the next steps.	N
103	We introduce various notions of partial topos, i.E: `topos without terminal object'.	A partial topos is a topos without a terminal object.	E
104	We introduce various notions of partial topos, i.E: `topos without terminal object'.	There is only one notion of partial topos.	C
105	We introduce various notions of partial topos, i.E: `topos without terminal object'.	We also introduce various notions of topos with a terminal object.	N
106	Examples for the weaker notions are local homeomorphisms and discrete fibrations.	Local homeomorphisms are examples of the weaker notions, as are discrete fibrations.	E
107	Examples for the weaker notions are local homeomorphisms and discrete fibrations.	Discrete fibrations are not examples of the weaker notions.	C
108	Examples for the weaker notions are local homeomorphisms and discrete fibrations.	Local homeomorphisms and discrete fibrations are also examples of the stronger notions.	N
109	In such a framework, the globular nerve always satisfies the Kan condition.	Sometimes the globular nerve satisfies the Kan condition.	E
110	In such a framework, the globular nerve always satisfies the Kan condition.	In no framework does the globular nerve satisfy the Kan condition.	C
111	In such a framework, the globular nerve always satisfies the Kan condition.	The globular nerve only satisfies the Kan condition under very special assumptions.	N
112	We give a categorical discussion of such results.	We discuss a certain result mentioning categorical ideas.	E
113	We give a categorical discussion of such results.	We  give a discussion of such results using concepts drawn entirely from partial differential equations..	C
114	We give a categorical discussion of such results.	We also give a categorical discussion of other results.	N
115	Another is to make clear which parts of the proofs of such results are formal.	Parts of the proofs of such results are formal.	E
116	Another is to make clear which parts of the proofs of such results are formal.	The proofs of such results are completely informal.	C
117	Another is to make clear which parts of the proofs of such results are formal.	Parts of the proofs of such results are informal.	N
118	In this case we recover the notion of a linear bicategory.	We recover the notion of a linear bicategory.	E
119	In this case we recover the notion of a linear bicategory.	In this case the notion of a linear bicategory cannot be recovered.	C
120	In this case we recover the notion of a linear bicategory.	The notion of a linear bicategory has been recovered several times.	N
121	The poly notions of functors, modules and their transformations are introduced as well.	There exists a poly notion of transformation of functors.	E
122	The poly notions of functors, modules and their transformations are introduced as well.	Nobody has ever studied poly notions of functors and their transformations.	C
123	The poly notions of functors, modules and their transformations are introduced as well.	The poly notions of rings are introduced as well.	N
124	In many applications of quasigroups isotopies and homotopies are more important than isomorphisms and homomorphisms.	Isotopies and homotopies are more important than isomorphisms and homomorphisms in some applications of quasigroups.	E
125	In many applications of quasigroups isotopies and homotopies are more important than isomorphisms and homomorphisms.	Isomorphisms and homomorphisms are always more important than isotopies and homotopies.	C
126	In many applications of quasigroups isotopies and homotopies are more important than isomorphisms and homomorphisms.	In all applications of quasigroups, isotopies are more important than isomorphisms.	N
127	Those classes are natural examples of reflective subcategories defined by proper classes of morphisms.	Those classes are examples of certain reflective subcategories.	E
128	Those classes are natural examples of reflective subcategories defined by proper classes of morphisms.	It is an open question whether any examples of reflective subcategories defined by proper classes of morphisms exist.	C
129	Those classes are natural examples of reflective subcategories defined by proper classes of morphisms.	Those classes are natural examples of several important phenomena that were observed by Grothendieck in the 1970s.	N
130	The paper develops the previously proposed approach to constructing factorization systems in general categories.	The paper focuses on constructing factorization systems.	E
131	The paper develops the previously proposed approach to constructing factorization systems in general categories.	The paper relies on no previous results.	C
132	The paper develops the previously proposed approach to constructing factorization systems in general categories.	The paper introduces the important notion of skew factorization system, which is helpful in constructing factorization systems in general categories.	N
133	The problem of relating a factorization system to a pointed endofunctor is considered.	There is a problem of relating a pointed endofunctor to a factorization system.	E
134	The problem of relating a factorization system to a pointed endofunctor is considered.	A factorization system can be easily related to anything without any problem arising.	C
135	The problem of relating a factorization system to a pointed endofunctor is considered.	A pointed endofunctor cannot be related to a factorization system.	N
136	Some relevant examples in concrete categories are given.	Relevant examples in some categories are given.	E
137	Some relevant examples in concrete categories are given.	No relevant examples in any categories exist.	C
138	Some relevant examples in concrete categories are given.	Some relevant examples in the category of topological spaces are given.	N
139	We characterize semi-abelian monadic categories and their localizations.	We discuss some monadic categories.	E
140	We characterize semi-abelian monadic categories and their localizations.	Semi-abelian monadic categories lack localizations.	C
141	We characterize semi-abelian monadic categories and their localizations.	We characterize abelian monadic categories and their localizations.	N
142	However, we also present a non-varietor satisfying Birkhoff's Variety Theorem.	There exists a non-varietor satisfying Birkhoff's Variety Theorem.	E
143	However, we also present a non-varietor satisfying Birkhoff's Variety Theorem.	No non-varietors satisfy Birkhoff's Variety Theorem.	C
144	However, we also present a non-varietor satisfying Birkhoff's Variety Theorem.	We present three non-varietors satisfying Birkhoff's Variety Theorem.	N
145	It turns out that many categorical properties are well behaved under enlargements.	Some categorical properties are well behaved under enlargements.	E
146	It turns out that many categorical properties are well behaved under enlargements.	No categorical properties are well behaved under enlargements.	C
147	It turns out that many categorical properties are well behaved under enlargements.	All categorical properties are well behaved under enlargements.	N
148	We describe a completion of gms's by Cauchy filters of formal balls.	There exists a completion of gms's by Cauchy filters of formal balls.	E
149	We describe a completion of gms's by Cauchy filters of formal balls.	No completion of gms's by Cauchy filters of formal balls exists.	C
150	We describe a completion of gms's by Cauchy filters of formal balls.	It is easy to describe a completion of gms's by Cauchy filters of formal balls.	N
151	This paper proposes a recursive definition of V-n-categories and their morphisms.	This paper is about a definition of V-n-categories.	E
152	This paper proposes a recursive definition of V-n-categories and their morphisms.	This paper only discusses the definition of V-n-categories, not their morphisms, which will be introduced in a companion paper.	C
153	This paper proposes a recursive definition of V-n-categories and their morphisms.	This paper proposes a definition of V-categories.	N
154	Our result relies heavily on some unpublished work of A. Kock from 1989.	A. Kock did some unpublished work on the topic of this work.	E
155	Our result relies heavily on some unpublished work of A. Kock from 1989.	Our result relies only on the published  work of A. Kock.	C
156	Our result relies heavily on some unpublished work of A. Kock from 1989.	Our work relies on published and unpublished work of A. Kock.	N
157	The required simplicial approximation results for simplicial sets and their proofs are given in full.	Simplicial approximation results for simplicial sets are proved.	E
158	The required simplicial approximation results for simplicial sets and their proofs are given in full.	The required simplicial approximation results for simplicial sets and their proofs are barely sketched.	C
159	The required simplicial approximation results for simplicial sets and their proofs are given in full.	Approximation results for simplicial sets and their proofs	N
160	Subdivision behaves like a covering in the context of the techniques displayed here.	Subdivision can behave like a covering.	E
161	Subdivision behaves like a covering in the context of the techniques displayed here.	In the context of the techniques displayed here subdivision does not behave like a covering.	C
162	Subdivision behaves like a covering in the context of the techniques displayed here.	Subdivision and other techniques do not mix well.	N
163	Several exact sequences, relative to a subfunctor of the identity functor, are obtained.	We obtain exact sequences relative to a subfunctor of the identity functor.	E
164	Several exact sequences, relative to a subfunctor of the identity functor, are obtained.	No exact sequence relative to a subfunctor of the identity functor is obtained.	C
165	Several exact sequences, relative to a subfunctor of the identity functor, are obtained.	An exact sequence relative to the product functor is known.	N
166	The resulting notion of centrality fits into Janelidze and Kelly's theory of central extensions.	Janelidze and Kelly's theory of central extensions has a resulting notion of centrality.	E
167	The resulting notion of centrality fits into Janelidze and Kelly's theory of central extensions.	Janelidze and Kelly's theory of central extensions has no notion of centrality.	C
168	The resulting notion of centrality fits into Janelidze and Kelly's theory of central extensions.	Janelidze and Kelly's theory of central extensions has a notion of acentrality.	N
169	The centre of a monoidal category is a braided monoidal category.	Braided monoidal categories can be centres of other categories.	E
170	The centre of a monoidal category is a braided monoidal category.	The centre of a monoidal category is a monoidal category with no braid structure.	C
171	The centre of a monoidal category is a braided monoidal category.	A braided monoidal category has a centre.	N
172	Monoidal categories are monoidal objects (or pseudomonoids) in the monoidal bicategory of categories.	The monoidal bicategory of categories has monoidal objects.	E
173	Monoidal categories are monoidal objects (or pseudomonoids) in the monoidal bicategory of categories.	There are no monoidal objects in the monoidal bicategory of categories.	C
174	Monoidal categories are monoidal objects (or pseudomonoids) in the monoidal bicategory of categories.	The monoidal bicategory of categories has  symmetric monoidal objects.	N
175	Some properties and sufficient conditions for existence of the construction are examined.	Sufficient conditions for existence of the construction are examined	E
176	Some properties and sufficient conditions for existence of the construction are examined.	The construction has no properties.	C
177	Some properties and sufficient conditions for existence of the construction are examined.	We show precisely when the construction exists.	N
178	Having many corollaries, this was an extremely useful result.	This result has at least two corollaries.	E
179	Having many corollaries, this was an extremely useful result.	The corollaries made this result useless.	C
180	Having many corollaries, this was an extremely useful result.	This useful result had no precedents.	N
181	This paper introduces the notions of vector field and flow on a general differentiable stack.	This paper introduces the notion of vector field on a general differentiable stack.	E
182	This paper introduces the notions of vector field and flow on a general differentiable stack.	Vector fields on a differentiable stack are undefinable.	C
183	This paper introduces the notions of vector field and flow on a general differentiable stack.	This paper generalizes the notions of vector field and flow on a stack.	N
184	Both of them generalise the concept of algebra on a monad T.	The concept of algebra on a monad T is more special than both of them.	E
185	Both of them generalise the concept of algebra on a monad T.	Both of them are special cases of a monadic algebra.	C
186	Both of them generalise the concept of algebra on a monad T.	Both concepts are interesting.	N
187	We define eventually cyclic Boolean flows and the eventually cyclic spectrum of a Boolean flow.	We define the eventually cyclic spectrum of a Boolean flow and also eventually cyclic Boolean flows.	E
188	We define eventually cyclic Boolean flows and the eventually cyclic spectrum of a Boolean flow.	Without defining them, we use the concepts of an eventually cyclic Boolean flow and the eventually cyclic spectrum of a Boolean flow.	C
189	We define eventually cyclic Boolean flows and the eventually cyclic spectrum of a Boolean flow.	The definition of the eventually cyclic spectrum of a Boolean flow uses the definition of eventually cyclic Boolean flows.	N
190	The axioms resemble those for monoidal Abelian categories with the addition of an involutive functor.	The axioms are similar to those for monoidal Abelian categories, but we also make us of a functor which is involutive.	E
191	The axioms resemble those for monoidal Abelian categories with the addition of an involutive functor.	The axioms have a very different flavor from those for monoidal Abelian categories with involutive functors.	C
192	The axioms resemble those for monoidal Abelian categories with the addition of an involutive functor.	The axioms are the ones of monoidal Abelian categories.	N
193	Neither enrichment nor a complex base field is presupposed.	A complex base field is not presupposed.	E
194	Neither enrichment nor a complex base field is presupposed.	A complex base field is presupposed.	C
195	Neither enrichment nor a complex base field is presupposed.	The base field assumed is the real numbers.	N
196	A comparison to other approaches will be made in the introduction.	In the introduction, we compare our work to that work in other papers.	E
197	A comparison to other approaches will be made in the introduction.	We decided to omit an introduction and instead discuss other approaches.	C
198	A comparison to other approaches will be made in the introduction.	Other approaches will be made in the introduction.	N
199	Distributive laws between monads (triples) were defined by Jon Beck in the 1960s.	Jon Beck defined distributive laws between triples.	E
200	Distributive laws between monads (triples) were defined by Jon Beck in the 1960s.	Jon Beck failed to define distributive laws between monads (triples) in the 1960s.	C
201	Distributive laws between monads (triples) were defined by Jon Beck in the 1960s.	The main point of Jon Beck's paper was to generalize distributive laws from arithmetic to monads (triples).	N
202	For such a class of spaces homotopy orthogonality implies enriched orthogonality.	For such a class of spaces enriched orthogonality is implied by homotopy orthogonality.	E
203	For such a class of spaces homotopy orthogonality implies enriched orthogonality.	For such a class of spaces homotopy orthogonality implies and also contradicts enriched orthogonality.	C
204	For such a class of spaces homotopy orthogonality implies enriched orthogonality.	For such a class of spaces enriched orthogonality implies homotopy orthogonality.	N
205	The state space of a machine admits the structure of time.	The state space of a machine has a temporal structure.	E
206	The state space of a machine admits the structure of time.	The state space of a machine is static.	C
207	The state space of a machine admits the structure of time.	Like time itself, the state space of a machine has loops.	N
208	In the general case, no such meaningful partition could exist.	In general case, no such meaningful partition exists.	E
209	In the general case, no such meaningful partition could exist.	There is a meaningful partition in general.	C
210	In the general case, no such meaningful partition could exist.	In special cases, the partition is very meaningful.	N
211	The present paper starts by supplying this last clause with a precise meaning.	The present paper supplies a precise meaning to this last clause.	E
212	The present paper starts by supplying this last clause with a precise meaning.	The present paper treats the last clause in an informal but meaningful way.	C
213	The present paper starts by supplying this last clause with a precise meaning.	The precise meaning of the last clause is given in the beginning and the end of this paper.	N
214	Under condition (I), every multiplicative graph is an internal category.	Under condition (I), every multiplicative graph is a category.	E
215	Under condition (I), every multiplicative graph is an internal category.	Under condition (I), there exists a multiplicative graph that is not a category.	C
216	Under condition (I), every multiplicative graph is an internal category.	Under condition (I), every graph is an internal category.	N
217	We describe a simplified categorical approach to Galois descent theory.	We present an approach to Galois descent theory that has a categorical nature.	E
218	We describe a simplified categorical approach to Galois descent theory.	We will not be concerned with Galois descent theory.	C
219	We describe a simplified categorical approach to Galois descent theory.	The previous categorical approach to Galois descent theory was correct, but convoluted.	N
220	Now coproduct preservation yields an approach to product measures.	Some approach to product measures results from coproduct preservation.	E
221	Now coproduct preservation yields an approach to product measures.	Product measures are not related to coproduct preservation.	C
222	Now coproduct preservation yields an approach to product measures.	Now the preservation of product measures yields coproduct preservatioN:	N
223	Then we present three applications of groupoidification.	We present at least two applications of groupoidification.	E
224	Then we present three applications of groupoidification.	Groupoidification is a purely theoretic concept that cannot be applied to anything.	C
225	Then we present three applications of groupoidification.	Two of the three applications that we present are well-known.	N
226	The second application is to Hecke algebras.	The second application involves some algebras.	E
227	The second application is to Hecke algebras.	Only one application exists.	C
228	The second application is to Hecke algebras.	Hall algebras can also be an application.	N
229	The ``if" directions fail for semi-abelian varieties.	The ``if" directions cannot be proved for semi-abelian varieties.	E
230	The ``if" directions fail for semi-abelian varieties.	The ``if" directions can be proved for semi-abelian varieties.	C
231	The ``if" directions fail for semi-abelian varieties.	The ``only if" directions fail for semi-abelian varieties.	N
232	We compute some simple examples and explore the elementary properties of these invariants.	We will be concerned with some properties of certain invariants.	E
233	We compute some simple examples and explore the elementary properties of these invariants.	We compute some simple examples of these invariants, but we will not be concerned with their properties.	C
234	We compute some simple examples and explore the elementary properties of these invariants.	We explore the elementary properties of these invariants and prove that no other invariants exist.	N
235	Symbolic dynamics is partly the study of walks in a directed graph.	The study of walks in a directed graph is related to symbolic dynamics.	E
236	Symbolic dynamics is partly the study of walks in a directed graph.	It is not known whether symbolic dynamics can be connected to graph theory.	C
237	Symbolic dynamics is partly the study of walks in a directed graph.	Symbolic dynamics is partly the study of strolls in a directed graph.	N
238	To each graph we associate a basal graph, well defined up to isomorphism.	A basal graph can be associated with each graph.	E
239	To each graph we associate a basal graph, well defined up to isomorphism.	While it is possible to assign a basal graph to each graph, this correspondence is never well defined.	C
240	To each graph we associate a basal graph, well defined up to isomorphism.	To each graph we associate a basal graph, well defined up to a unique isomorphism.	N
241	We combine two recent ideas: cartesian differential categories, and restriction categories.	The idea of restriction categories is not old.	E
242	We combine two recent ideas: cartesian differential categories, and restriction categories.	The combination of restriction categories and cartesian differential categories is impossible.	C
243	We combine two recent ideas: cartesian differential categories, and restriction categories.	Cartesian differential categories and restriction categories re concepts in categorical logic.	N
244	The category of Set-valued presheaves on a small category B is a topos.	The category of Set-valued presheaves on a small category C is a topos.	E
245	The category of Set-valued presheaves on a small category B is a topos.	There exists a small category C such that the category of Set-valued presheaves on C is not a topos.	C
246	The category of Set-valued presheaves on a small category B is a topos.	The category of Set-valued presheaves on a category B is a topos.	N
247	A flow on a compact Hausdorff space is an automorphism.	A flow on a compact Hausdorff space is an endomorphism.	E
248	A flow on a compact Hausdorff space is an automorphism.	No flow on a compact Hausdorff space is an automorphism.	C
249	A flow on a compact Hausdorff space is an automorphism.	A flow on a Hausdorff space is an automorphism	N
250	Vertical arrows give rise to modules between representables.	Some arrows give rise to modules between representables.	E
251	Vertical arrows give rise to modules between representables.	Modules between representables have no interaction with vertical arrows.	C
252	Vertical arrows give rise to modules between representables.	Horizontal arrows give rise to modules between representables.	N
253	Various concerns suggest looking for internal co-categories in categories with strong logical structure.	We looked for internal co-categories with strong logical structure.	E
254	Various concerns suggest looking for internal co-categories in categories with strong logical structure.	We abandon the idea of looking for internal co-categories in categories with a strong logical structure.	C
255	Various concerns suggest looking for internal co-categories in categories with strong logical structure.	We suggest looking for internal co-categories.	N
256	We give a new proof of the fact that every topos is adhesive.	We give a proof that each topos is adhesive.	E
257	We give a new proof of the fact that every topos is adhesive.	We give a new proof that every topos is non-adhesive.	C
258	We give a new proof of the fact that every topos is adhesive.	The old proof of the fact that every topos is adhesive had gaps.	N
259	We compare various different definitions of "the category of smooth objects".	We have several definitions of "the category of smooth objects".	E
260	We compare various different definitions of "the category of smooth objects".	No one has given a definition of "the category of smooth objects".	C
261	We compare various different definitions of "the category of smooth objects".	No one has given a definition of "the bicategory of smooth objects".	N
262	We indicate also some possible novel geometric interest in such algebras.	We suggest some novel geometric interest in such algebras.	E
263	We indicate also some possible novel geometric interest in such algebras.	We fail to see any possible geometric interest in such algebras.	C
264	We indicate also some possible novel geometric interest in such algebras.	We suggest some novel geometric interest in such coalgebras.	N
265	In this paper we will give a new, elementary proof of this result.	We give a proof of this result.	E
266	In this paper we will give a new, elementary proof of this result.	In this paper we give the old, original proof of this result.	C
267	In this paper we will give a new, elementary proof of this result.	In this paper we will give a number=theoretic proof of this result.	N
268	We clarify details of that work.	We provide details of that work.	E
269	We clarify details of that work.	That work cannot be clarified.	C
270	We clarify details of that work.	We give details of a special case of that work.	N
271	Our main conceptual tool is a monad on the category of grouped toposes.	We use as a conceptual tool a monad on the category of grouped toposes.	E
272	Our main conceptual tool is a monad on the category of grouped toposes.	We do not have a conceptual tool for this problem.	C
273	Our main conceptual tool is a monad on the category of grouped toposes.	We present a topos-theoretic investigation of isotropy and the Clifford sequence.	N
274	We also discuss some new examples and results motivated by this characterization.	We discuss this characterization.	E
275	We also discuss some new examples and results motivated by this characterization.	We refrain from discussing examples and results motivated by this characterization.	C
276	We also discuss some new examples and results motivated by this characterization.	We also discuss new functors motivated by this characterization.	N
277	It also gives an easy way to calculate the sources and targets of opetopes.	This gives a way to calculate the sources of opetopes.	E
278	It also gives an easy way to calculate the sources and targets of opetopes	This gives a hard way to calculate the sources and targets of opetopes.	C
279	It also gives an easy way to calculate the sources and targets of opetopes	It also gives an easy way to calculate the sources and targets of polytopes.	N
